description,amount,date
Starbucks Coffee Shop,450,2024-01-15
Amazon.in Purchase,2500,2024-01-16
Uber Ride to Airport,680,2024-01-17
Electricity Bill Payment,1200,2024-01-18
Big Bazaar Groceries,850,2024-01-19
Netflix Subscription,199,2024-01-20
Apollo Pharmacy Medicine,320,2024-01-21
Zomato Food Delivery,380,2024-01-22
Petrol Pump Fuel,2800,2024-01-23
Flipkart Shopping,1500,2024-01-24
Cafe Coffee Day,280,2024-01-25
Swiggy Order,420,2024-01-26
Metro Card Recharge,500,2024-01-27
Dominos Pizza,650,2024-01-28
Myntra Clothing,3200,2024-01-29
Hospital Consultation,800,2024-01-30
Book Store Purchase,450,2024-01-31
Ola Cab Ride,220,2024-02-01
Reliance Fresh Vegetables,380,2024-02-02
Spotify Premium,119,2024-02-03
